project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Math,63,mutant-23,10.0,0.05727593061779224,3.0,0.5555555555555556,0.6521739130434783,0.6896551724137931,13.057275930617791,0.24987506246876565,FALSE
Math,63,mutant-3,4.0,0.0,0.0,1.0,0.8846153846153846,1.0,4.0,0.8846153846153846,FALSE
Math,63,mutant-9,11.0,0.0,0.0,1.0,0.46153846153846156,1.0,11.0,0.46153846153846156,FALSE
Math,64,mutant-3,17.0,0.2061167103995858,7.0,0.4444444444444444,0.407871198568873,0.6490384615384616,24.206116710399584,0.11765515343332875,FALSE
Math,65,mutant-1,8.0,0.07661948312336131,0.0,1.0,0.8653846153846154,0.6,8.07661948312336,0.5192307692307693,FALSE
Math,7,mutant-1,4.0,0.0,0.0,1.0,0.85,0.5333333333333333,4.0,0.4533333333333333,FALSE
Math,70,mutant-3,11.0,0.12764325571004143,7.0,0.375,0.23636363636363636,0.32653061224489793,18.12764325571004,0.028942486085343225,TRUE
Math,71,mutant-1,13.0,0.29658329895961566,6.0,0.25,1.0,0.3292181069958848,19.296583298959618,0.0823045267489712,FALSE
Math,71,mutant-10,6.0,0.014149179393353917,11.0,0.07692307692307693,0.17647058823529413,0.21739130434782608,17.014149179393353,0.00295101318119221,FALSE
Math,71,mutant-11,8.0,0.0,0.0,1.0,0.4657534246575342,0.08333333333333333,8.0,0.03881278538812785,FALSE
Math,71,mutant-12,8.0,0.3876275643042054,2.0,0.0,0.4657534246575342,1.0,10.387627564304205,0.0,FALSE
Math,71,mutant-13,3.0,0.0,0.0,1.0,0.9473684210526315,1.0,3.0,0.9473684210526315,FALSE
Math,71,mutant-14,2.0,0.0,2.0,0.0,1.0,0.7272727272727273,4.0,0.0,FALSE
Math,71,mutant-15,2.0,0.0,2.0,0.0,1.0,0.7272727272727273,4.0,0.0,FALSE
Math,71,mutant-16,2.0,0.0,2.0,0.0,1.0,0.7272727272727273,4.0,0.0,FALSE
Math,71,mutant-17,6.0,0.0,0.0,1.0,0.17647058823529413,0.21739130434782608,6.0,0.03836317135549872,FALSE
Math,71,mutant-18,13.0,0.30312685235543335,5.0,0.16666666666666666,0.09687034277198212,0.09909090909090909,18.303126852355433,0.001599828388203947,FALSE
Math,71,mutant-19,13.0,0.0,0.0,1.0,0.09687034277198212,0.09732142857142857,13.0,0.009427560144773259,FALSE
Math,71,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,71,mutant-20,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,0.0744535519125683,23.326480117399594,7.36827173312567E-4,FALSE
Math,71,mutant-21,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,1.0,23.326480117399594,0.00989646772228989,FALSE
Math,71,mutant-22,17.0,0.18052640042190382,1.0,0.7142857142857143,0.735632183908046,1.0,18.180526400421904,0.5254515599343186,FALSE
Math,71,mutant-23,16.0,0.32648011739959404,7.0,0.125,1.0,0.07898550724637682,23.326480117399594,0.009873188405797102,FALSE
Math,71,mutant-24,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,0.07898550724637682,23.326480117399594,7.816775229924624E-4,FALSE
Math,71,mutant-25,16.0,0.0,0.0,1.0,0.07917174177831912,1.0,16.0,0.07917174177831912,FALSE
Math,71,mutant-26,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,1.0,23.326480117399594,0.00989646772228989,FALSE
Math,71,mutant-27,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,0.07898550724637682,23.326480117399594,7.816775229924624E-4,FALSE
Math,71,mutant-3,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,0.0744535519125683,23.326480117399594,7.36827173312567E-4,FALSE
Math,71,mutant-4,16.0,0.32648011739959404,7.0,0.125,0.07917174177831912,0.05860215053763441,23.326480117399594,5.79954291252472E-4,FALSE
Math,71,mutant-5,16.0,0.0,0.0,1.0,0.07917174177831912,1.0,16.0,0.07917174177831912,FALSE
Math,71,mutant-6,5.0,0.01962106451492074,1.0,0.3333333333333333,0.7912087912087912,1.0,6.01962106451492,0.2637362637362637,FALSE
Math,71,mutant-7,5.0,0.01962106451492074,1.0,0.3333333333333333,0.7912087912087912,0.8,6.01962106451492,0.21098901098901096,FALSE
Math,71,mutant-8,4.0,0.01962106451492074,1.0,0.3333333333333333,1.0,0.75,5.01962106451492,0.25,FALSE
Math,71,mutant-9,6.0,0.22205337867789576,10.0,0.08333333333333333,0.2465753424657534,0.28125,16.222053378677895,0.005779109589041096,FALSE
Math,73,mutant-1,42.0,0.0,0.0,1.0,0.29832402234636873,0.3629032258064516,42.0,0.10826275004505317,FALSE
Math,73,mutant-16,43.0,0.09294569676895093,19.0,0.4,0.286480686695279,1.0,62.09294569676895,0.1145922746781116,FALSE
Math,73,mutant-20,41.0,0.10555885113160535,17.0,0.4444444444444444,0.3111888111888112,1.0,58.105558851131605,0.1383061383061383,FALSE
Math,73,mutant-5,42.0,0.09882649160079748,18.0,0.42105263157894735,0.29832402234636873,1.0,60.098826491600796,0.12561011467215524,FALSE
Math,74,mutant-1,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Math,74,mutant-2,6.0,0.0,0.0,1.0,0.84472049689441,0.6122448979591837,6.0,0.5171758144251489,FALSE
Math,74,mutant-3,9.0,0.1080135404464142,2.0,0.5714285714285714,0.7435897435897436,0.6,11.108013540446414,0.2549450549450549,FALSE
Math,75,mutant-1,4.0,0.10557280900008414,1.0,0.5,1.0,1.0,5.105572809000084,0.5,TRUE
Math,78,mutant-1,10.0,0.05974384731975235,1.0,0.8333333333333334,0.8773491592482691,0.8319327731092437,11.059743847319753,0.6082462658653967,FALSE
Math,78,mutant-10,9.0,0.0,0.0,1.0,0.8773491592482691,0.8319327731092437,9.0,0.7298955190384759,FALSE
Math,78,mutant-11,9.0,0.05974384731975235,1.0,0.8333333333333334,0.8773491592482691,0.820215410107705,10.059743847319753,0.5996794170503911,FALSE
Math,78,mutant-12,9.0,0.05974384731975235,1.0,0.8333333333333334,0.8773491592482691,0.8319327731092437,10.059743847319753,0.6082462658653967,FALSE
Math,78,mutant-13,13.0,0.0,0.0,1.0,0.8258845437616388,0.7971014492753623,13.0,0.6583137667665236,FALSE
Math,78,mutant-14,13.0,0.09274563347783227,1.0,0.8333333333333334,0.8258845437616388,0.8088235294117647,14.092745633477833,0.5566623763099281,FALSE
Math,78,mutant-2,10.0,0.05974384731975235,1.0,0.8333333333333334,0.8773491592482691,0.8319327731092437,11.059743847319753,0.6082462658653967,FALSE
Math,78,mutant-3,4.0,0.0,4.0,0.5789473684210527,1.0,1.0,8.0,0.5789473684210527,FALSE
Math,78,mutant-4,7.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,FALSE
Math,78,mutant-5,10.0,0.05974384731975235,0.0,1.0,0.8773491592482691,0.8319327731092437,10.059743847319753,0.7298955190384759,FALSE
Math,78,mutant-6,11.0,0.05581753909505427,3.0,0.7272727272727273,0.7759009009009009,0.7630057803468208,14.055817539095054,0.43055772535541326,FALSE
Math,78,mutant-7,10.0,0.05974384731975235,1.0,0.8333333333333334,0.8773491592482691,1.0,11.059743847319753,0.7311242993735576,FALSE
Math,78,mutant-8,8.0,0.035193768765050204,1.0,0.8333333333333334,0.9201244813278008,0.8839285714285714,9.03519376876505,0.6777702652637818,FALSE
Math,78,mutant-9,8.0,0.0,0.0,1.0,0.9201244813278008,1.0,8.0,0.9201244813278008,FALSE
Math,8,mutant-1,7.0,0.0,0.0,1.0,0.660377358490566,0.6081081081081081,7.0,0.401580826109128,FALSE
Math,8,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,8,mutant-3,3.0,0.0,0.0,1.0,0.7619047619047619,0.5555555555555556,3.0,0.42328042328042326,FALSE
Math,8,mutant-4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,8,mutant-5,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,FALSE
Math,8,mutant-6,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,FALSE
Math,8,mutant-7,19.0,0.30631202438070393,10.0,0.2,0.6204379562043796,1.0,29.306312024380706,0.12408759124087593,FALSE
Math,8,mutant-8,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,80,mutant-1,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
Math,80,mutant-10,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
Math,80,mutant-11,5.0,0.0,0.0,1.0,0.6567796610169492,0.6549019607843137,5.0,0.4301262878032569,FALSE
Math,80,mutant-12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,80,mutant-14,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Math,80,mutant-15,2.0,0.015268072165338209,1.0,0.8,1.0,1.0,3.0152680721653384,0.8,FALSE
Math,80,mutant-18,92.0,0.5043449817176991,39.0,0.046511627906976744,0.003386004514672686,1.0,131.50434498171768,1.5748858207779935E-4,FALSE
Math,80,mutant-19,18.0,0.17202983677250272,1.0,0.7777777777777778,0.7794117647058824,0.6876061120543294,19.172029836772502,0.4168331169479677,FALSE
Math,80,mutant-2,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
