project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Csv,11,mutant-4,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,11,mutant-5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Csv,11,mutant-6,7.0,0.0,0.0,1.0,0.37435008665511266,0.4407467532467532,7.0,0.16499358527088162,TRUE
Csv,11,mutant-7,2.0,0.04120188729161278,1.0,0.8333333333333334,0.7894736842105263,0.8333333333333334,3.0412018872916127,0.5482456140350878,FALSE
Csv,11,mutant-8,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
Csv,11,mutant-9,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,FALSE
Csv,15,mutant-1,26.0,0.1804775448682946,7.0,0.3,0.9642857142857143,0.5589430894308943,33.180477544868296,0.16169425087108014,FALSE
Csv,15,mutant-10,27.0,0.8653129940597052,13.0,0.0,0.033950617283950615,1.0,40.86531299405971,0.0,TRUE
Csv,15,mutant-11,26.0,0.1804775448682946,7.0,0.3,0.9614243323442137,0.5589430894308943,33.180477544868296,0.1612144459723529,FALSE
Csv,15,mutant-12,23.0,0.1698339501833942,7.0,0.3,1.0,0.3870967741935484,30.169833950183396,0.11612903225806451,FALSE
Csv,15,mutant-13,23.0,0.1698339501833942,7.0,0.3,1.0,0.3870967741935484,30.169833950183396,0.11612903225806451,FALSE
Csv,15,mutant-2,26.0,0.1804775448682946,7.0,0.3,0.9642857142857143,1.0,33.180477544868296,0.28928571428571426,FALSE
Csv,15,mutant-3,26.0,0.1804775448682946,7.0,0.3,0.9642857142857143,0.5589430894308943,33.180477544868296,0.16169425087108014,FALSE
Csv,15,mutant-4,25.0,0.17520724968370072,6.0,0.3684210526315789,0.9642857142857143,1.0,31.1752072496837,0.35526315789473684,FALSE
Csv,15,mutant-5,27.0,0.8653129940597052,13.0,0.0,0.033950617283950615,0.0061162079510703364,40.86531299405971,0.0,TRUE
Csv,15,mutant-6,4.0,0.0,0.0,1.0,0.84375,0.2916666666666667,4.0,0.24609375000000003,FALSE
Csv,15,mutant-7,26.0,0.1804775448682946,7.0,0.3,0.9642857142857143,1.0,33.180477544868296,0.28928571428571426,FALSE
Csv,15,mutant-8,23.0,0.1698339501833942,7.0,0.3,1.0,0.4782608695652174,30.169833950183396,0.14347826086956522,FALSE
Csv,15,mutant-9,26.0,0.1804775448682946,7.0,0.3,0.9642857142857143,0.5589430894308943,33.180477544868296,0.16169425087108014,FALSE
Csv,5,mutant-1,2.0,0.049067034816068444,1.0,0.8,1.0,0.8,3.0490670348160682,0.6400000000000001,FALSE
Csv,5,mutant-10,2.0,0.0,0.0,1.0,0.8181818181818182,1.0,2.0,0.8181818181818182,FALSE
