bug	s3-tool-buggy	capgen-tool
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.75.1	2.0	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.70.1	2.005063323673818	0.4588235294117647
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.85.1	6.060663563372276	0.9
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.82.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.2.1	0.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.5.1	2.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Time.19.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Lang.59.1	2.0	0.5494505494505495
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Lang.51.1	11.05532948764661	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Lang.6.1	2.0	0.6818181818181818
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Chart.11	2.0	0.6021505376344085
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Chart.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Chart.19	30.072618578288843	0.2029596458464399
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Chart.24	2.0	0.6666666666666666
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Chart.4	13.066834558920895	0.4534412955465587
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.57	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.34	4.017533389009463	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.75	2.0	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.30	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.79	2.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.70	2.005063323673818	0.4588235294117647
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.FixMiner.Math.22	2.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Chart.19	24.22088292832769	0.008593857595372538
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Chart.14	42.15367662914848	0.17157434402332364
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.61	16.16965344635338	0.013605442176870746
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.35	81.5501711751076	0.004396184692564111
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.89	17.130343446521326	0.0010288065843621398
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.99	33.16060309986079	0.006303325003939578
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.90	21.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.3	19.134256367950297	0.02415153129676227
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.85	12.10774850473277	0.040334115223983065
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.82	18.0464548634542	0.06480605487228003
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.5	17.287303354900203	1.8832391713747646E-4
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Math.25	12.106802262764734	0.06264280274181265
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Time.15	11.333333333333334	0.004
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Lang.7	17.62203552699077	2.690341673392521E-4
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.ACS.Lang.24	11.0	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Cardumen.Chart.11	2.0	0.6021505376344085
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Cardumen.Math.70	2.005063323673818	0.4588235294117647
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Kali.Closure.126	8.563564219528015	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Kali.Closure.115	11.639332146133027	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Kali.Math.50	6.4960473693210306	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Closure.73	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Closure.40	2.0	0.6
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Chart.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Chart.19	30.072618578288843	0.2029596458464399
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Chart.4	8.0	0.7368421052631579
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Math.58	3.2343585065112235	0.432
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Math.89	19.059258501998997	0.011197014129565449
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Math.75	2.0	0.5
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Math.70	2.005063323673818	0.4588235294117647
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.kPAR.Lang.7	15.14166749224001	0.08866928256551858
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.33.1	16.551382276726365	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.18.1	3.0875788717533243	0.3289878943703466
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.73.1	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.126.1	8.563564219528015	0.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Jaid.Closure.31.1	3.5	0.0
